Dt. ins.,Note interne 1,Soggetto,Ragione sociale,Contatto,Operatore,Categoria
2025-09-18,"18/09
Cliente da lista associazione cosmetica Germania, dal centralino hanno provato a passarmi ufficio acquisti ma purtroppo non mi ha ripsosto nessuno. Quindi nel richiamare mi hanno chesto di inviare presnetazione e catalogo.
scrivo cmq sempre che li ricontatterò e che l'intento è quello di incontrarli di erosna per presentazione prodotti.",15323,AlmaWin Reinigungskonzentrate GmbH,,Alessandra,Azione Commerciale
2025-09-18,"28/08

Cliente già sentito diverse volte in passato, ci ha ricontattati per i flaconi new cristal vetto verniciato bianco che le abbiamo già venduto e consegnato a giugno 2025. Ora richiede la serigrafia sugli stessi, ci siamo sentite perchè sollecitava offerta e per comunicare la serigtafia a due e tre colori per 5 referenze (lorri da 500 e 1000). 
Entro domani mando offerta.

12/09
Contatto per le due offerte pending, entro prox settimana dovrebbe dare riscontro.

18/09
Telefonata con Jo per avere aggiornamenti sull'offerta. Devo richiamarla entro lunedì.",11321,MEDDROP BIOMEDICAL TECHNOLOGIES GMBH,JO SCHUMACHER,Alessandra,Azione Commerciale
2025-09-18,"18/09
CLIENTE DA ELENCO ASSOCIAZIONE COSMETICA GERMANIA- ho provato a contattare ufficio acquisti, al momento non disponibile, mi hanno chiesto presentazione società e catalogo, oltre a sottolineare di voler portare di perosna i campioni per  relativa presentazione. ",15324,Birkenbach-Gesundheit,,Alessandra,Azione Commerciale
2025-09-18,"15/09
Cliente con cui non condividevamo più offete dal 2019, parlato con uff. acquisti, aggiornata anagrafica, mando email con catalogo.

16/09
Cliente ha risposto al mio contatto, ho provato a contattarli nuovamente ma oggi non sono reperibili. Ho chiesto incontro per ottobre.

17/09
prima chiamata efefttuata per parlare con sig.ra Opree, non era alla sua postazione, ho lasciato messaggio alla segretaria.

17/09
seconda chiamata, ancora non rintracciabile, le ho lasciato messaggio in segreteria, ed ho mandato email. Se non sento nessuno entro le 14 RICHIAMO IO ANCORA UNA  VOLTA.

18/09
Richiamato anche oggi ma senza risposta, lasciato messaggio in segreteria.",104,DR. BABOR GMBH & CO. KG,Bastian Käsmacher/Annika Opree,Alessandra,Azione Commerciale
2025-09-18,"18/09
Sentito il cliente, accennato alla ns società, persone nuove a partire da me che mi occupo del mercato austriaco, prodotti nuovi ed innovativi a breve lancio sul mercato, disponibile ad incontro di persona sulla base della loro disponibilità. Mi hanno chiesto catalogo e presentazione company.",9332,ALPINE NATURPRODUKTE GMBH,,Alessandra,Azione Commerciale
2025-09-18,"18/09
Tentativo di chiamata, purtroppo senza riscontro, ho inviato emial con le nostre info ed i dettagli per contatto in futuro.
",10847,MR. ULAS HAZAR,,Alessandra,Azione Commerciale
2025-09-18,"16/09

Cristian richiede se per loro cliente importante abbiamo campioni da inviare secodno i modelli che mi hanno condiviso, da quanto vedo credo che alcune nostre collezioni potrebbero corrispondere. Attendo OK Bettina per procedere con invio campioni e creazione progetto.

17/09
Ho provato a richiamarlo per avere altre info sul progetto sopra descritto, è in riunione, mi richiama lui fra un'ora.

17/09
sono interessati a tutto, sia plastica che vetro, capacità 30-50-100ML, vogliono far colpo sul cliente cinese, hanno bisognod ei campioni prox settimana a monaco. Provo a preparare campionatura cpme da indicazione di Bettina.

18/09
Contatto cliente per l'offerta in corso, mi deve dare specifica se il flacone lo vuole colorato, matt e se è richiesta la serigrafia. Ho colto l'occasione per chiedere della famosa fattura proforma che devono ancora pagare, attendono che paghi il cliente per poi pagare noi.",8570,KLAPP COSMETICS GMBH,CRISTIAN VIDAL,Alessandra,Contatto Cliente
2025-09-18,"11/09
Lho chiamata per conferma quantitativi offerta in corso, ed abbianmo rivisto insieme in generale la sua richesta. Le ho accennato della ns probabile visita in ottobre, verifica disponibilità.

18/09
Ci siamo risentite per offerta in corso, per sapere se l'hanno condivisa con il cliente e si può andare avanti con il progetto. Mi faranno sapere nelle prossime settimane.
",3321,CNC COSMETIC GMBH,RAMONA SCHOENWALD,Alessandra,Contatto Cliente
2025-09-18,"Contattata da parte della cliente per commentare la loro richiesta relativa alle condizioni di pagamento dell'ordine che ci dovrebbero mandare a breve.

09/07
Ho provato a chiamarla per proporle il 70 % anticipato e 30% alla consegna, ma ha rilanciato esattamente con il contrario. Bettina mi ha autorizzato a proporle il 50% anticipato e 50 % al ritiro merce. Domiani la richiamo per proporglielo.

10/07
Ho provato a richiamarla ma anche oggi non raggiungibile, ho mandato email per proporle le nuove condizioni di pagamento. Domani provo a richiamare sperando in un suo riscontro positivo.

16/07
Confermata la condizione di pagamento, trasmetto ordine, così procediamo con emissione fattura proforma, poi inviamo tacca colore+steps successivi.

24/07
l'ho chamata per informarla che le tacche colore sono state inviate ieri, avvisandola del numero di tracking.

24/07
mi hanno segnalato problema su area di stampa VASO FLORENCE 250 ML, ho chiesto supporto alla qualità per correggere l'area di stampa e rinviare quella corretta spero entro domani.

25/07
prima chiamata legata al problema artwork vaso FLORENCE 250 ML, questo risolto 

25/07
seconda chiamata legata all'artwork del VASO FLORENCE 15 ML, abbiamo rinviato diverse aeree di stampa, ultimo invios cheda tecnica. Attendo di sapere se finalmente risolto.

28/07
Risentita questa mattina sempre per l'incongruenza sul FLORENCE 15ML, il loro grafico mi ha mandato email.

28/07
Mi hanno richiamata sempre per motivo sopra, le ho spiegato di utilizzare ns ultim,o vaso e poi come da indicazione di Bettina, avremmo addattato noi l'artwork all'area di stampa giusta del prodotto. Mi hanno cheisto quotazione per campioni serigrafati finiti, ho scritto tutto nella mail.

29/07

Mi hanno richiamata per prooblema tacca colore non corrispondente Pantone 5175U. Mi hanno anche richiesto la scheda tecnica del Florence 250 ML.

26/08
La Schultheis mi ha ricontattata oggi per fare il punto della situazione delle varie attività pending, ne ho parlato con Bettina, domani mando mail riepilogativa.

17/09
Mi ha chiamata la Schultheis, per confermarmi arrivo dei 15 campioni florence 50 ml che le avevo manadato io e per chiedermi altre info, per le quali le ho detto che sono seguite da Nadia, quindi di scrivere a lei. 

18/09
Scuhulteis mi ha richiamata oggi, ho ribadito che seguo la parte commerciale, voleva chiedere se fare una call di recap o meno ed inoltre ha finalmente capito il perchè ha ricevuto i campioni neri. Chiede invio campioni da loro entro la seconda di ottobre per photoshooting. 
",15125,WILDE COSMETICS  GmbH ,SCHULTHEIS-DORMANN,Alessandra,Contatto Cliente
2025-09-18,"Ho appena parlato con la cliente che mi chiedeva della ns chiusura aziendale per le ferie estive e di quando sarei stata io in ferie (le ho anche detto che sono cmq raggiungibile al cell). Questo perché il suo cliente ha accettato la ns offerta in allegato, non sapeva ancora tutti i dettagli se vetro trasparente o satinato, dovrebbe trattarsi di 10K pezzi CRISTAL 100 ML,  vorrebbe entro prossima settimana mandarci l’ordine.  Forse ci farà della serigrafia da fare, spero mi confermi il tutto a breve. Ovviamente le ho suggerito di affrettarsi con l’invio dell’ordine data la stagione estiva.

15/07
l'ho risentita per ordine CRISTAL 100 ML, sono in attesa di riscontro da parte del cliente, entro prox settimana spera di potermi dire qualcosa. E' a conoscenza del rallentamento di agosto.

28/07
Risentita oggi per modifica offerta in corso, aggiungendo altri range  e relativa quotazione. Mi deve ancora dire del Cristal 100ML.

29/07
richiamata oggi per il CRISTAL 100 ML, non ha anocra riscontro, òe ho chiesto di verificare. Altra ofefrta per vaso ambra VT 15ML.

30/07
per la nuova offerta preparata attendo i prezzi di spedizione, ho spiegato alla cliente che non appena li avremo, potremo mandarle l'offerta.

28/08
Ricontattata oggi la cliente per avere riscontro sulle due offerte di recente inviate ed anche per sapere della campionatura CRISTAL	FLACONE 100 ML	24/410 VS per l quale attendeva riscontro dal cliente. Domani la richiamo.

29/08
Ho provato a ricontattarla oggi ma purtroppo non ho trovato nessuno. Prox settimana dovrebbero esserci tutti.

01/09
Finalmente contattata, per tutti i punti aperti al massimo entro domani mi dà riscontro. 

02/09
Sempre per le offerte in corso l'ho richiamata...mi ha rimandata a domani.

03/09
Per offerte peneding ricontattata oggi, ancora non ha riscontro.

10/09
Parlato questa mattina con Nagel, chiede di tenere le offerte ancora on hold, siamo d'accordo la richiamo prox giovedi 18/09.

18/09
Chiamata cliente, offerta nr 250353 chiusa, il cliente finale si è indirizzato verso altra forma di pac vetro. Ho sollecitato riscontro sulle altre due offerte pending. ",9355,HUTTENLOCHER  GMBH,JESSICA NAGEL,Alessandra,Contatto Cliente
2025-09-18,Chiamato ma senza risposta. Inviata email di presentazione con catalogo,8125,CEDERROTH POLSKA S.A.,Mrs. Gabriela,Rachida,Contatto Cliente
2025-09-18,Chiamato ma senza successo. Inviata email di presentazione con catalogo,8210,SANOFI-AVENTIS SP- Z.O.O.,Mr. Konrad,Rachida,Contatto Cliente
2025-09-18,Parlato con Wioleta ed informa che non lavora più nel settore packaging da 5 anni. Invio catalogo e presentazione per futura collaborazione.,8269,GLOBAL-TRADE,Mrs. Wioleta,Rachida,Contatto Cliente
2025-09-18,Parlato con il cliente che informa non è interessato ai nostri prodotti in quanto si fornisce direttamente dall'Asia. ho inviato lo stesso il catalogo con una presentazione via email in caso di futura collaborazione.,8273,LUVIER SP. ZO.O.,Mr. Michat,Rachida,Contatto Cliente
2025-09-18,conversazione su Whatsapp per gli articoli di interesse e definizione campionatura,15319,CAVOSOL,Mr. Mihael,Rachida,Contatto Cliente
2025-09-19,"sentito telefonicamente cliente e presentata azienda
chiesto contatto della persona che si occupa del packaging e inviata mail di presentazione",8134,H.C.S. HIGH COSMETIC SOLUTION SRL ,,Rachele,Azione Commerciale
2025-09-19,"29/09
Su loro richiesta ho provato a contattarli oggi in riefrimento al file per recuperare i loro codici articoli. La sig. Frigan oggi non è disponibile, ho invaito mail, la richiamo lunedi.

19/09
Sentito il cliente per la compilazione del file, segnalano che alcuni articoli non corrispondono alla loro ricerca, di quelli che sono stati correttamente identificati gli ho anche già mandato le relative schede tecniche.",2763,ARTDECO COSMETIC GMBH,ANITA FRIGAN,Alessandra,Contatto Cliente
